01, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 42, 41, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 02,
11, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 12,
11, 47, 17, 22, 22, 18, 47, 17, 22, 22, 22, 18, 47, 24, 23, 47, 17, 22, 22, 22, 18, 47, 17, 22, 22, 18, 47, 12,
11, 48, 24, 46, 46, 23, 47, 24, 46, 46, 46, 23, 47, 24, 23, 47, 23, 46, 46, 46, 24, 47, 23, 46, 46, 24, 48, 12,
11, 47, 19, 21, 21, 20, 47, 19, 21, 21, 21, 20, 47, 19, 20, 47, 19, 21, 21, 21, 20, 47, 19, 21, 21, 20, 47, 12,
11, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 12,
11, 47, 17, 22, 22, 18, 47, 17, 18, 47, 17, 22, 22, 22, 22, 22, 22, 18, 47, 17, 18, 47, 17, 22, 22, 18, 47, 12,
11, 47, 19, 21, 21, 20, 47, 24, 23, 47, 19, 21, 21, 30, 29, 21, 21, 20, 47, 24, 23, 47, 19, 21, 21, 20, 47, 12,
11, 47, 47, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 47, 47, 12,
03, 10, 10, 10, 10, 18, 47, 24, 31, 22, 22, 18, 46, 24, 23, 46, 17, 22, 22, 32, 23, 47, 17, 10, 10, 10, 10, 04,
46, 46, 46, 46, 46, 11, 47, 24, 29, 21, 21, 20, 46, 19, 20, 46, 19, 21, 21, 30, 23, 47, 12, 46, 46, 46, 46, 46,
46, 46, 46, 46, 46, 11, 47, 24, 23, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 24, 23, 47, 12, 46, 46, 46, 46, 46,
46, 46, 46, 46, 46, 11, 47, 24, 23, 46, 25, 10, 34, 46, 46, 33, 10, 26, 46, 24, 23, 47, 12, 46, 46, 46, 46, 46,
09, 09, 09, 09, 09, 20, 47, 19, 20, 46, 12, 46, 46, 46, 46, 46, 46, 11, 46, 19, 20, 47, 19, 09, 09, 09, 09, 09,
46, 46, 46, 46, 46, 46, 47, 46, 46, 46, 12, 46, 46, 46, 46, 46, 46, 11, 46, 46, 46, 47, 46, 46, 46, 46, 46, 46,
10, 10, 10, 10, 10, 18, 47, 17, 18, 46, 12, 46, 46, 46, 46, 46, 46, 11, 46, 17, 18, 47, 17, 10, 10, 10, 10, 10,
46, 46, 46, 46, 46, 11, 47, 24, 23, 46, 27, 09, 09, 09, 09, 09, 09, 28, 46, 24, 23, 47, 12, 46, 46, 46, 46, 46,
46, 46, 46, 46, 46, 11, 47, 24, 23, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 24, 23, 47, 12, 46, 46, 46, 46, 46,
46, 46, 46, 46, 46, 11, 47, 24, 23, 46, 17, 22, 22, 22, 22, 22, 22, 18, 46, 24, 23, 47, 12, 46, 46, 46, 46, 46,
01, 09, 09, 09, 09, 20, 47, 19, 20, 46, 19, 21, 21, 30, 29, 21, 21, 20, 46, 19, 20, 47, 19, 09, 09, 09, 09, 02,
11, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 12,
11, 47, 17, 22, 22, 18, 47, 17, 22, 22, 22, 18, 47, 24, 23, 47, 17, 22, 22, 22, 18, 47, 17, 22, 22, 18, 47, 12,
11, 47, 19, 21, 30, 23, 47, 19, 21, 21, 21, 20, 47, 30, 29, 47, 19, 21, 21, 21, 20, 47, 24, 29, 21, 20, 47, 12,
11, 48, 47, 47, 24, 23, 47, 47, 47, 47, 47, 47, 47, 46, 46, 47, 47, 47, 47, 47, 47, 47, 24, 23, 47, 47, 48, 12,
07, 22, 18, 47, 24, 23, 47, 17, 18, 47, 17, 22, 22, 22, 22, 22, 22, 18, 47, 17, 18, 47, 24, 23, 47, 17, 22, 08,
05, 21, 20, 47, 19, 20, 47, 24, 23, 47, 19, 21, 21, 30, 29, 21, 21, 20, 47, 24, 23, 47, 19, 20, 47, 19, 21, 06,
11, 47, 47, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 24, 23, 47, 47, 47, 47, 47, 47, 12,
11, 47, 17, 22, 22, 22, 22, 32, 31, 22, 22, 18, 47, 24, 23, 47, 17, 22, 22, 32, 31, 22, 22, 22, 22, 18, 47, 12,
11, 47, 19, 21, 21, 21, 21, 21, 21, 21, 21, 20, 47, 19, 20, 47, 19, 21, 21, 21, 21, 21, 21, 21, 21, 20, 47, 12,
11, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 12,
03, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 04,
