00, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 41, 40, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 08, 01
10, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 11
10, 46, 16, 21, 21, 17, 46, 16, 21, 21, 21, 17, 46, 23, 22, 46, 16, 21, 21, 21, 17, 46, 16, 21, 21, 17, 46, 11
10, 47, 23, 45, 45, 22, 46, 23, 45, 45, 45, 22, 46, 23, 22, 46, 23, 45, 45, 45, 22, 46, 23, 45, 45, 22, 47, 11
10, 46, 18, 20, 20, 19, 46, 18, 20, 20, 20, 19, 46, 18, 19, 46, 18, 20, 20, 20, 19, 46, 18, 20, 20, 19, 46, 11
10, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 11
10, 46, 16, 21, 21, 17, 46, 16, 17, 46, 16, 21, 21, 21, 21, 21, 21, 17, 46, 16, 17, 46, 16, 21, 21, 17, 46, 11
10, 46, 18, 20, 20, 19, 46, 23, 22, 46, 18, 20, 20, 29, 28, 20, 20, 19, 46, 23, 22, 46, 18, 20, 20, 19, 46, 11
10, 46, 46, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 46, 46, 11
02, 09, 09, 09, 09, 17, 46, 23, 30, 21, 21, 17, 45, 23, 22, 45, 16, 21, 21, 31, 22, 46, 16, 09, 09, 09, 09, 03
45, 45, 45, 45, 45, 10, 46, 23, 28, 20, 20, 19, 45, 18, 19, 45, 18, 20, 20, 29, 22, 46, 11, 45, 45, 45, 45, 45
45, 45, 45, 45, 45, 10, 46, 23, 22, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 23, 22, 46, 11, 45, 45, 45, 45, 45
45, 45, 45, 45, 45, 10, 46, 23, 22, 45, 24, 09, 33, 45, 45, 32, 09, 25, 45, 23, 22, 46, 11, 45, 45, 45, 45, 45
08, 08, 08, 08, 08, 19, 46, 18, 19, 45, 11, 45, 45, 45, 45, 45, 45, 10, 45, 18, 19, 46, 18, 08, 08, 08, 08, 08
45, 45, 45, 45, 45, 45, 46, 45, 45, 45, 11, 45, 45, 45, 45, 45, 45, 10, 45, 45, 45, 46, 45, 45, 45, 45, 45, 45
09, 09, 09, 09, 09, 17, 46, 16, 17, 45, 11, 45, 45, 45, 45, 45, 45, 10, 45, 16, 17, 46, 16, 09, 09, 09, 09, 09
45, 45, 45, 45, 45, 10, 46, 23, 22, 45, 26, 08, 08, 08, 08, 08, 08, 27, 45, 23, 22, 46, 11, 45, 45, 45, 45, 45
45, 45, 45, 45, 45, 10, 46, 23, 22, 45, 45, 45, 45, 45, 45, 45, 45, 45, 45, 23, 22, 46, 11, 45, 45, 45, 45, 45
45, 45, 45, 45, 45, 10, 46, 23, 22, 45, 16, 21, 21, 21, 21, 21, 21, 17, 45, 23, 22, 46, 11, 45, 45, 45, 45, 45
00, 08, 08, 08, 08, 19, 46, 18, 19, 45, 18, 20, 20, 29, 28, 20, 20, 19, 45, 18, 19, 46, 18, 08, 08, 08, 08, 01
10, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 11
10, 46, 16, 21, 21, 17, 46, 16, 21, 21, 21, 17, 46, 23, 22, 46, 16, 21, 21, 21, 17, 46, 16, 21, 21, 17, 46, 11
10, 46, 18, 20, 29, 22, 46, 18, 20, 20, 20, 19, 46, 18, 19, 46, 18, 20, 20, 20, 19, 46, 23, 28, 20, 19, 46, 11
10, 47, 46, 46, 23, 22, 46, 46, 46, 46, 46, 46, 46, 45, 45, 46, 46, 46, 46, 46, 46, 46, 23, 22, 46, 46, 47, 11
06, 21, 17, 46, 23, 22, 46, 16, 17, 46, 16, 21, 21, 21, 21, 21, 21, 17, 46, 16, 17, 46, 23, 22, 46, 16, 21, 07
04, 20, 19, 46, 18, 19, 46, 23, 22, 46, 18, 20, 20, 29, 28, 20, 20, 19, 46, 23, 22, 46, 18, 19, 46, 18, 20, 05
10, 46, 46, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 23, 22, 46, 46, 46, 46, 46, 46, 11
10, 46, 16, 21, 21, 21, 21, 31, 30, 21, 21, 17, 46, 23, 22, 46, 16, 21, 21, 31, 30, 21, 21, 21, 21, 17, 46, 11
10, 46, 18, 20, 20, 20, 20, 20, 20, 20, 20, 19, 46, 18, 19, 46, 18, 20, 20, 20, 20, 20, 20, 20, 20, 19, 46, 11
10, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 11
02, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 09, 03

